ENCFF600ZLH, Esophagus_Mucosa, peaks, released, 
ENCFF699TTG, Esophagus_Mucosa, peaks, released, 
ENCFF176UNG, Stomach, peaks, archived, 
ENCFF475QRX, Stomach, peaks, released, 
ENCFF042BUV, Stomach, peaks, released, 
ENCFF419YBC, Brain_Substantia_nigra, peaks, released, 
ENCFF611QCS, Brain_Substantia_nigra, peaks, released, 
ENCFF266IMI, Brain_Substantia_nigra, peaks, released, 
ENCFF699DFI, Brain_Substantia_nigra, peaks, released, 
ENCFF291VFQ, Muscle_Skeletal, peaks, archived, 
ENCFF265ADM, Muscle_Skeletal, peaks, released, 
ENCFF437YNK, Stomach, peaks, archived, 
ENCFF197FKD, Stomach, peaks, released, 
ENCFF690TYE, Stomach, peaks, released, 
ENCFF694EXU, Esophagus_Mucosa, peaks, archived, 
ENCFF765OLU, Esophagus_Mucosa, peaks, released, 
ENCFF541KIS, Esophagus_Mucosa, peaks, released, 
ENCFF382ZXJ, Muscle_Skeletal, peaks, released, 
ENCFF904WML, Muscle_Skeletal, peaks, released, 
ENCFF387MDD, Adrenal_Gland, peaks, released, 
ENCFF006EFA, Adrenal_Gland, peaks, released, 
ENCFF035TPB, Small_Intestine_Terminal_Ileum, peaks, archived, 
ENCFF254EWR, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF344ZHD, Small_Intestine_Terminal_Ileum, peaks, released, 
ENCFF947NGI, Stomach, peaks, released, 
ENCFF905IUW, Stomach, peaks, released, 
ENCFF585OGV, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF537WFI, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF080EGZ, Muscle_Skeletal, peaks, archived, 
ENCFF440LGH, Muscle_Skeletal, peaks, released, 
ENCFF598JLK, Muscle_Skeletal, peaks, released, 
ENCFF818CVH, Muscle_Skeletal, peaks, archived, 
ENCFF370UTZ, Muscle_Skeletal, peaks, released, 
ENCFF049ZMT, Muscle_Skeletal, peaks, released, 
ENCFF385LDQ, Muscle_Skeletal, peaks, archived, 
ENCFF732XJD, Muscle_Skeletal, peaks, released, 
ENCFF562BJN, Muscle_Skeletal, peaks, released, 
ENCFF268RMZ, Pancreas, peaks, released, 
ENCFF378QPK, Pancreas, peaks, released, 
ENCFF180BOD, Pancreas, peaks, released, 
ENCFF379TWQ, Pancreas, replicated peaks, released, 
ENCFF105OCB, Pancreas, peaks, released, 
ENCFF500RGP, Pancreas, peaks, released, 
ENCFF398ALA, Pancreas, peaks, released, 
ENCFF205NZQ, Pancreas, replicated peaks, released, 
ENCFF763JYN, Liver, peaks, released, 
ENCFF130OUP, Liver, peaks, released, 
ENCFF026IBK, Liver, peaks, released, 
ENCFF225FNJ, Liver, peaks, released, 
ENCFF523MQU, Spleen, peaks, released, 
ENCFF748PXZ, Spleen, peaks, released, 
ENCFF564QVB, Pancreas, peaks, released, 
ENCFF254FKB, Pancreas, peaks, released, 
ENCFF613RMX, Heart_Left_Ventricle, peaks, released, 
ENCFF374KLS, Heart_Left_Ventricle, peaks, released, 
ENCFF062JCG, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF450UUO, Brain_Caudate_basal_ganglia, peaks, released, 
ENCFF955ZTO, Stomach, peaks, released, 
ENCFF574IYG, Stomach, peaks, released, 
ENCFF921UUS, Thyroid, peaks, released, 
ENCFF858CRA, Thyroid, peaks, released, 
ENCFF424RWF, Thyroid, peaks, released, 
ENCFF041LZZ, Thyroid, replicated peaks, released, 
ENCFF539NNS, Thyroid, peaks, released, 
ENCFF849PFV, Thyroid, peaks, released, 
ENCFF350YGM, Thyroid, peaks, released, 
ENCFF367RHB, Thyroid, replicated peaks, released, 
ENCFF849ZXP, Muscle_Skeletal, peaks, archived, 
ENCFF240MAV, Muscle_Skeletal, peaks, released, 
ENCFF131FNF, Muscle_Skeletal, peaks, released, 
ENCFF290TLU, Muscle_Skeletal, peaks, released, 
ENCFF870BQQ, Muscle_Skeletal, peaks, released, 
ENCFF502SKB, Lung, peaks, released, 
ENCFF043AEX, Lung, peaks, released, 
ENCFF434WIL, Artery_Aorta, peaks, archived, 
ENCFF366MRV, Artery_Aorta, peaks, released, 
ENCFF866OHC, Artery_Aorta, peaks, released, 
ENCFF439YYM, Esophagus_Mucosa, peaks, archived, 
ENCFF150WHC, Esophagus_Mucosa, peaks, released, 
ENCFF531BTF, Esophagus_Mucosa, peaks, released, 
ENCFF522QFN, Esophagus_Mucosa, peaks, released, 
ENCFF850YHV, Esophagus_Mucosa, peaks, released, 
ENCFF868DXB, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF387ALL, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF589JQX, Muscle_Skeletal, peaks, released, 
ENCFF361RGJ, Muscle_Skeletal, peaks, released, 
ENCFF470WBY, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF485QAA, Brain_Anterior_cingulate_cortex_BA24, peaks, released, 
ENCFF023HJU, Brain_Substantia_nigra, peaks, released, 
ENCFF012FBY, Brain_Substantia_nigra, peaks, released, 
ENCFF229VBZ, Adrenal_Gland, peaks, released, 
ENCFF831VGM, Adrenal_Gland, peaks, released, 
ENCFF404JQF, Spleen, peaks, released, 
ENCFF571BFA, Spleen, peaks, released, 
ENCFF115RBH, Spleen, peaks, released, 
ENCFF342VQB, Spleen, peaks, released, 
ENCFF392WRV, Artery_Tibial, peaks, released, 
ENCFF170GFF, Artery_Tibial, peaks, released, 
ENCFF176SWZ, Adrenal_Gland, peaks, released, 
ENCFF792FSH, Adrenal_Gland, peaks, released, 
ENCFF902GTD, Adrenal_Gland, peaks, released, 
ENCFF314VSG, Adrenal_Gland, peaks, released, 
ENCFF987RMR, Adrenal_Gland, peaks, released, 
ENCFF402JUG, Adrenal_Gland, peaks, released, 
ENCFF947OPX, Adrenal_Gland, replicated peaks, released, 
ENCFF564LZF, Adrenal_Gland, replicated peaks, released, 
ENCFF501WIO, Esophagus_Mucosa, peaks, released, 
