K	alpha1	lambda1	coph	correlation	nfactor	optimal_run	optimal_obj
16	90	90	0.885758427094927	3.02628162185002	7.3	22	55369.2078635713
10	90	90	0.885880415744003	2.98921884355987	7	4	55430.9520112948
11	60	60	0.886309412317252	3.41623180864168	9.66666666666667	17	43590.6117436836
18	60	90	0.886683046895433	3.36111083764062	9.16666666666667	21	48720.8509163008
18	80	70	0.88678381781467	3.28760669773681	8.86666666666667	5	49302.0136702621
12	90	70	0.886899025527419	3.16744631959911	8.16666666666667	22	51095.7278668644
12	80	90	0.886914268028681	3.09476958346793	7.7	8	53552.9828199474
12	90	50	0.887013957258442	3.27343251428936	8.9	9	46044.6269811921
11	70	70	0.887241538393342	3.20569575261529	8.36666666666667	1	47524.5113510114
14	80	90	0.887300464715009	3.14647477160232	7.83333333333333	28	53649.1564290582
19	70	80	0.887613030412608	3.28068463523348	8.66666666666667	4	49264.9020207901
10	60	80	0.887805565766011	3.28080694485375	8.73333333333333	8	47520.4595456692
15	100	50	0.888788880226957	3.2400222530267	8.6	11	48083.7899640836
16	100	60	0.888841758932342	3.21256336009624	8.46666666666667	12	50281.0692647624
11	90	40	0.889582855879248	3.34399181979565	9.3	13	43807.8483294085
15	70	100	0.890144628239617	3.16501926626796	7.93333333333333	28	52773.3247317096
12	100	60	0.89030060349755	3.06632884671457	7.63333333333333	15	51226.0378463422
10	100	80	0.89030191809343	2.9819021947456	7	3	55234.4380617702
17	70	80	0.890637748523317	3.33452506019846	9.06666666666667	20	49327.1130474303
17	100	80	0.891395196295535	3.07327892918155	7.56666666666667	22	55236.041877806
15	70	90	0.891624784474472	3.21041628090097	8.36666666666667	25	51416.6605614787
19	80	100	0.891726929900809	3.04009153429823	7.3	16	54880.1846971196
14	80	50	0.891969437319974	3.40629837365925	9.56666666666667	10	43725.7563790982
10	60	60	0.892003804184731	3.35475692383875	9.23333333333333	24	43982.3560069743
16	90	80	0.892163598267043	3.10861914427952	7.76666666666667	9	53254.7623678844
11	60	70	0.892539783947362	3.36320540690481	9.3	12	45478.7019333101
18	90	80	0.892995462025043	3.11707079457747	7.76666666666667	10	53471.7056739572
12	70	60	0.893107042899936	3.34436201148655	9.16666666666667	25	45008.8005542922
11	80	50	0.893323754210661	3.3557045254592	9.26666666666667	10	44869.4002431517
