ENCFF589VJH, skeletal muscle tissue, stable peaks,
ENCFF792MLG, skeletal muscle tissue, stable peaks,
ENCFF507ISF, upper lobe of left lung, stable peaks,
ENCFF142ZXD, upper lobe of left lung, stable peaks,
ENCFF589EWY, ascending aorta, stable peaks,
ENCFF840LZA, ascending aorta, stable peaks,
ENCFF918CGC, pancreas, stable peaks,
ENCFF675FXA, pancreas, stable peaks,
ENCFF141BCE, uterus, replicated peaks,
ENCFF155UOS, uterus, replicated peaks,
ENCFF756DZN, prostate gland, stable peaks,
ENCFF857VWJ, prostate gland, stable peaks,
ENCFF858GQN, transverse colon, stable peaks,
ENCFF783LSS, transverse colon, stable peaks,
ENCFF925YZC, transverse colon, stable peaks,
ENCFF123ANY, transverse colon, stable peaks,
ENCFF175CMC, heart left ventricle, stable peaks,
ENCFF086QMV, heart left ventricle, stable peaks,
ENCFF166XXQ, heart left ventricle, stable peaks,
ENCFF916TQA, heart left ventricle, stable peaks,
ENCFF979POM, esophagus squamous epithelium, stable peaks,
ENCFF875MVS, esophagus squamous epithelium, stable peaks,
ENCFF870QVN, aorta, stable peaks,
ENCFF223WWD, aorta, stable peaks,
ENCFF353QWL, adrenal gland, stable peaks,
ENCFF273ZIG, adrenal gland, stable peaks,
ENCFF172RMV, testis, stable peaks,
ENCFF047XWN, testis, stable peaks,
ENCFF886JSY, tibial nerve, stable peaks,
ENCFF295YLK, tibial nerve, stable peaks,
ENCFF261CHY, stomach, stable peaks,
ENCFF616WLR, stomach, stable peaks,
ENCFF161HMP, ovary, stable peaks,
ENCFF909APK, ovary, stable peaks,
ENCFF405FBW, urinary bladder, stable peaks,
ENCFF738QDH, urinary bladder, stable peaks,
ENCFF674BQW, transverse colon, stable peaks,
ENCFF873FNY, transverse colon, stable peaks,
ENCFF041JIT, kidney, stable peaks,
ENCFF751ZDX, kidney, stable peaks,
ENCFF806XXU, sigmoid colon, stable peaks,
ENCFF702DGF, sigmoid colon, stable peaks,
ENCFF415WPZ, brain, stable peaks,
ENCFF597YZE, brain, stable peaks,
ENCFF830KGQ, upper lobe of left lung, stable peaks,
ENCFF434YJW, upper lobe of left lung, stable peaks,
ENCFF551SAY, adrenal gland, stable peaks,
ENCFF958KCT, adrenal gland, stable peaks,
ENCFF929ZLH, sigmoid colon, stable peaks,
ENCFF893TVK, sigmoid colon, stable peaks,
ENCFF453WPU, tibial nerve, stable peaks,
ENCFF192CWN, tibial nerve, stable peaks,
ENCFF494POE, testis, stable peaks,
ENCFF305TNC, testis, stable peaks,
ENCFF416DTW, esophagus muscularis mucosa, stable peaks,
ENCFF129HDT, esophagus muscularis mucosa, stable peaks,
ENCFF343VBU, uterus, stable peaks,
ENCFF875FHK, uterus, stable peaks,
ENCFF155RRF, gastroesophageal sphincter, stable peaks,
ENCFF127KUW, gastroesophageal sphincter, stable peaks,
ENCFF494QNV, tibial artery, replicated peaks,
ENCFF125JFQ, tibial artery, replicated peaks,
ENCFF690TRZ, stomach, stable peaks,
ENCFF349OIL, stomach, stable peaks,
ENCFF481TTY, upper lobe of left lung, stable peaks,
ENCFF433VGH, upper lobe of left lung, stable peaks,
